round,pickInRound,overallPick,teamId,teamAbbrev,teamLogoLight,teamLogoDark,teamPickHistory,positionCode,countryCode,height,weight,amateurLeague,amateurClubName,year,scrapedOn,source,teamName.default,teamName.fr,teamCommonName.default,teamPlaceNameWithPreposition.default,teamPlaceNameWithPreposition.fr,displayAbbrev.default,firstName.default,lastName.default,teamCommonName.fr
1,1,1,2,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,https://assets.nhle.com/logos/nhl/svg/NYI_dark.svg,NYI,D,CAN,74,186,OHL,Erie,2025,2026-01-02T20:32:03.315224,NHL Draft API,New York Islanders,Islanders de New York,Islanders,New York,de New York,NYI,Matthew,Schaefer,
1,2,2,28,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,https://assets.nhle.com/logos/nhl/svg/SJS_dark.svg,SJS,C,CAN,73,182,OHL,Saginaw,2025,2026-01-02T20:32:03.315224,NHL Draft API,San Jose Sharks,Sharks de San Jose,Sharks,San Jose,de San Jose,SJS,Michael,Misa,
1,3,3,16,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_19981999-20242025_light.svg,https://assets.nhle.com/logos/nhl/svg/CHI_19981999-20242025_dark.svg,CHI,C,SWE,74,204,SWEDEN-2,Djurgarden,2025,2026-01-02T20:32:03.315224,NHL Draft API,Chicago Blackhawks,Blackhawks de Chicago,Blackhawks,Chicago,de Chicago,CHI,Anton,Frondell,
1,4,4,68,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg?season=20252026,https://assets.nhle.com/logos/nhl/svg/UTA_dark.svg?season=20252026,UTA,C,CAN,74,182,QMJHL,Moncton,2025,2026-01-02T20:32:03.315224,NHL Draft API,Utah Mammoth,Mammoth de l'Utah,Mammoth,Utah,de l'Utah,UTA,Caleb,Desnoyers,
1,5,5,18,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,https://assets.nhle.com/logos/nhl/svg/NSH_dark.svg,NSH,C,CAN,72,186,OHL,Sault Ste. Marie,2025,2026-01-02T20:32:03.315224,NHL Draft API,Nashville Predators,Predators de Nashville,Predators,Nashville,de Nashville,NSH,Brady,Martin,
1,6,6,4,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,https://assets.nhle.com/logos/nhl/svg/PHI_dark.svg,PHI,RW,CAN,75,204,OHL,Brampton,2025,2026-01-02T20:32:03.315224,NHL Draft API,Philadelphia Flyers,Flyers de Philadelphie,Flyers,Philadelphia,de Philadelphie,PHI,Porter,Martone,
1,7,7,6,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_20242025-20242025_light.svg,https://assets.nhle.com/logos/nhl/svg/BOS_20242025-20242025_dark.svg,BOS,C,USA,71,186,H-EAST,Boston College,2025,2026-01-02T20:32:03.315224,NHL Draft API,Boston Bruins,Bruins de Boston,Bruins,Boston,de Boston,BOS,James,Hagens,
1,8,8,55,SEA,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,https://assets.nhle.com/logos/nhl/svg/SEA_dark.svg,SEA,C,CAN,74,177,OHL,Brantford,2025,2026-01-02T20:32:03.315224,NHL Draft API,Seattle Kraken,Kraken de Seattle,Kraken,Seattle,de Seattle,SEA,Jake,O'Brien,
1,9,9,7,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,https://assets.nhle.com/logos/nhl/svg/BUF_dark.svg,BUF,D,CZE,78,218,WHL,Seattle,2025,2026-01-02T20:32:03.315224,NHL Draft API,Buffalo Sabres,Sabres de Buffalo,Sabres,Buffalo,de Buffalo,BUF,Radim,Mrtka,
1,10,10,24,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,https://assets.nhle.com/logos/nhl/svg/ANA_dark.svg,ANA,C,CAN,78,198,WHL,Brandon,2025,2026-01-02T20:32:03.315224,NHL Draft API,Anaheim Ducks,Ducks d'Anaheim,Ducks,Anaheim,d'Anaheim,ANA,Roger,McQueen,
1,11,11,5,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,https://assets.nhle.com/logos/nhl/svg/PIT_dark.svg,PIT,C,CAN,71,180,WHL,Calgary,2025,2026-01-02T20:32:03.315224,NHL Draft API,Pittsburgh Penguins,Penguins de Pittsburgh,Penguins,Pittsburgh,de Pittsburgh,PIT,Benjamin,Kindel,
1,12,12,4,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,https://assets.nhle.com/logos/nhl/svg/PHI_dark.svg,NYR-VAN-PIT-PHI,C,CAN,77,186,OHL,Windsor,2025,2026-01-02T20:32:03.315224,NHL Draft API,Philadelphia Flyers,Flyers de Philadelphie,Flyers,Philadelphia,de Philadelphie,PHI,Jack,Nesbitt,
1,13,13,17,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,https://assets.nhle.com/logos/nhl/svg/DET_dark.svg,DET,LW,CAN,72,179,WHL,Everett,2025,2026-01-02T20:32:03.315224,NHL Draft API,Detroit Red Wings,Red Wings de Detroit,Red Wings,Detroit,de Detroit,DET,Carter,Bear,
1,14,14,29,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,https://assets.nhle.com/logos/nhl/svg/CBJ_dark.svg,CBJ,D,CAN,76,199,WHL,Tri-City,2025,2026-01-02T20:32:03.315224,NHL Draft API,Columbus Blue Jackets,Blue Jackets de Columbus,Blue Jackets,Columbus,de Columbus,CBJ,Jackson,Smith,
1,15,15,23,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,https://assets.nhle.com/logos/nhl/svg/VAN_dark.svg,VAN,C,CAN,72,186,WHL,Seattle,2025,2026-01-02T20:32:03.315224,NHL Draft API,Vancouver Canucks,Canucks de Vancouver,Canucks,Vancouver,de Vancouver,VAN,Braeden,Cootes,
1,16,16,2,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,https://assets.nhle.com/logos/nhl/svg/NYI_dark.svg,CGY-MTL-NYI,RW,SWE,71,169,SWEDEN-2,Djurgarden,2025,2026-01-02T20:32:03.315224,NHL Draft API,New York Islanders,Islanders de New York,Islanders,New York,de New York,NYI,Victor,Eklund,
1,17,17,2,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,https://assets.nhle.com/logos/nhl/svg/NYI_dark.svg,MTL-NYI,D,CAN,74,199,OHL,Barrie,2025,2026-01-02T20:32:03.315224,NHL Draft API,New York Islanders,Islanders de New York,Islanders,New York,de New York,NYI,Kashawn,Aitcheson,
1,18,18,20,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,https://assets.nhle.com/logos/nhl/svg/CGY_dark.svg,NJD-CGY,C,CAN,71,180,WHL,Victoria,2025,2026-01-02T20:32:03.315224,NHL Draft API,Calgary Flames,Flames de Calgary,Flames,Calgary,de Calgary,CGY,Cole,Reschny,
1,19,19,19,STL,https://assets.nhle.com/logos/nhl/svg/STL_20082009-20242025_light.svg,https://assets.nhle.com/logos/nhl/svg/STL_20082009-20242025_dark.svg,STL,RW,CAN,74,205,QMJHL,Blainville-Boisbriand,2025,2026-01-02T20:32:03.315224,NHL Draft API,St. Louis Blues,Blues de St. Louis,Blues,St. Louis,de St. Louis,STL,Justin,Carbonneau,
1,20,20,29,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,https://assets.nhle.com/logos/nhl/svg/CBJ_dark.svg,MIN-CBJ,G,RUS,72,207,RUSSIA-JR.,CSKA Jr.,2025,2026-01-02T20:32:03.315224,NHL Draft API,Columbus Blue Jackets,Blue Jackets de Columbus,Blue Jackets,Columbus,de Columbus,CBJ,Pyotr,Andreyanov,
1,21,21,18,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,https://assets.nhle.com/logos/nhl/svg/NSH_dark.svg,OTT-NSH,D,CAN,72,183,OHL,Kitchener,2025,2026-01-02T20:32:03.315224,NHL Draft API,Nashville Predators,Predators de Nashville,Predators,Nashville,de Nashville,NSH,Cameron,Reid,
