id,headshot,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCountry,scrapedOn,source,firstName.default,lastName.default,birthCity.default,birthStateProvince.default,birthCity.fi,birthCity.sv,birthCity.cs,birthCity.sk,firstName.cs,firstName.de,firstName.es,firstName.fi,firstName.sk,firstName.sv,birthCity.fr
8476981,https://assets.nhle.com/mugs/nhl/20252026/MTL/8476981.png,17,R,R,75,226,191,103,1994-05-07,CAN,2026-01-02T20:32:01.329935,NHL Roster API,Josh,Anderson,Burlington,ON,,,,,,,,,,,
8483424,https://assets.nhle.com/mugs/nhl/20252026/MTL/8483424.png,62,C,R,72,199,183,90,2004-02-03,CAN,2026-01-02T20:32:01.329935,NHL Roster API,Owen,Beck,Port Hope,ON,,,,,,,,,,,
8478104,https://assets.nhle.com/mugs/nhl/20252026/MTL/8478104.png,27,L,L,74,206,188,93,1996-06-17,CAN,2026-01-02T20:32:01.329935,NHL Roster API,Sammy,Blais,Montmagny,QC,,,,,,,,,,,
8482737,https://assets.nhle.com/mugs/nhl/20252026/MTL/8482737.png,76,R,L,72,187,183,85,2003-02-24,CAN,2026-01-02T20:32:01.329935,NHL Roster API,Zachary,Bolduc,Trois-Rivières,QC,,,,,,,,,,,
8481540,https://assets.nhle.com/mugs/nhl/20252026/MTL/8481540.png,13,R,R,68,175,173,79,2001-01-02,USA,2026-01-02T20:32:01.329935,NHL Roster API,Cole,Caufield,Mosinee,WI,,,,,,,,,,,
8481523,https://assets.nhle.com/mugs/nhl/20252026/MTL/8481523.png,77,C,R,76,221,193,100,2001-01-21,CAN,2026-01-02T20:32:01.329935,NHL Roster API,Kirby,Dach,Fort Saskatchewan,AB,,,,,,,,,,,
8476479,https://assets.nhle.com/mugs/nhl/20252026/MTL/8476479.png,24,C,L,73,200,185,91,1993-02-24,CAN,2026-01-02T20:32:01.329935,NHL Roster API,Phillip,Danault,Victoriaville,QC,,,,,,,,,,,
8484984,https://assets.nhle.com/mugs/nhl/20252026/MTL/8484984.png,93,R,L,73,192,185,87,2005-12-10,RUS,2026-01-02T20:32:01.329935,NHL Roster API,Ivan,Demidov,Sergiyev Posad,,,,,,,,,,,,
8478133,https://assets.nhle.com/mugs/nhl/20252026/MTL/8478133.png,71,C,R,72,190,183,86,1996-06-02,CAN,2026-01-02T20:32:01.329935,NHL Roster API,Jake,Evans,Toronto,ON,,,,,,,,,,,
8475848,https://assets.nhle.com/mugs/nhl/20252026/MTL/8475848.png,11,R,R,69,185,175,84,1992-05-06,CAN,2026-01-02T20:32:01.329935,NHL Roster API,Brendan,Gallagher,Edmonton,AB,,,,,,,,,,,
