id,season,gameType,gameDate,neutralSite,startTimeUTC,easternUTCOffset,venueUTCOffset,venueTimezone,gameState,gameScheduleState,tvBroadcasts,threeMinRecap,threeMinRecapFr,condensedGame,condensedGameFr,gameCenterLink,scrapedOn,source,venue.default,awayTeam.id,awayTeam.commonName.default,awayTeam.placeName.default,awayTeam.placeNameWithPreposition.default,awayTeam.placeNameWithPreposition.fr,awayTeam.abbrev,awayTeam.logo,awayTeam.darkLogo,awayTeam.awaySplitSquad,awayTeam.score,homeTeam.id,homeTeam.commonName.default,homeTeam.placeName.default,homeTeam.placeNameWithPreposition.default,homeTeam.placeNameWithPreposition.fr,homeTeam.abbrev,homeTeam.logo,homeTeam.darkLogo,homeTeam.homeSplitSquad,homeTeam.score,periodDescriptor.periodType,periodDescriptor.maxRegulationPeriods,gameOutcome.lastPeriodType,winningGoalie.playerId,winningGoalie.firstInitial.default,winningGoalie.lastName.default,awayTeam.placeName.fr,winningGoalie.lastName.cs,winningGoalie.lastName.fi,winningGoalie.lastName.sk,winningGoalie.lastName.sv,winningGoalScorer.playerId,winningGoalScorer.firstInitial.default,winningGoalScorer.lastName.default,venue.fr,homeTeam.commonName.fr,awayTeam.commonName.fr,homeTeam.hotelLink,homeTeam.hotelDesc,awayTeam.airlineLink,awayTeam.airlineDesc,awayTeam.hotelLink,awayTeam.hotelDesc,homeTeam.airlineLink,homeTeam.airlineDesc,homeTeam.placeName.fr,ticketsLink,ticketsLinkFr,awayTeam.radioLink,homeTeam.radioLink,awayTeam.promoLink,awayTeam.promoDesc,homeTeam.promoLink,homeTeam.promoDesc,venue.es
2025010015,20252026,1,2025-09-22,False,2025-09-22T23:00:00Z,-04:00,-04:00,America/Montreal,FINAL,OK,"[{'id': 324, 'market': 'N', 'countryCode': 'US', 'network': 'NHLN', 'sequenceNumber': 35}, {'id': 131, 'market': 'H', 'countryCode': 'CA', 'network': 'TSN2', 'sequenceNumber': 112}, {'id': 33, 'market': 'H', 'countryCode': 'CA', 'network': 'RDS', 'sequenceNumber': 132}]",/video/pit-at-mtl-recap-6379955920112,/fr/video/pit-vs-mtl-22-09-2025-resume-6379957802112,/video/pit-at-mtl-condensed-game-6379955836112,/fr/video/match-condense-penguins-canadiens-22-09-2025-6379957294112,/gamecenter/pit-vs-mtl/2025/09/22/2025010015,2026-01-02T20:32:02.094225,NHL Schedule API,Centre Bell,5,Penguins,Pittsburgh,Pittsburgh,de Pittsburgh,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,https://assets.nhle.com/logos/nhl/svg/PIT_dark.svg,False,1.0,8,Canadiens,Montréal,Montréal,de Montréal,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,https://assets.nhle.com/logos/nhl/svg/MTL_dark.svg,False,2.0,SO,3,SO,8484170.0,J.,Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025010026,20252026,1,2025-09-23,False,2025-09-23T23:00:00Z,-04:00,-04:00,America/Montreal,FINAL,OK,"[{'id': 131, 'market': 'H', 'countryCode': 'CA', 'network': 'TSN2', 'sequenceNumber': 112}, {'id': 33, 'market': 'H', 'countryCode': 'CA', 'network': 'RDS', 'sequenceNumber': 132}]",/video/phi-at-mtl-recap-6380019652112,/fr/video/phi-vs-mtl-23-09-2025-resume-6380020345112,/video/phi-at-mtl-condensed-game-6380020352112,/fr/video/match-condense-flyers-canadiens-23-09-2025-6380018871112,/gamecenter/phi-vs-mtl/2025/09/23/2025010026,2026-01-02T20:32:02.094225,NHL Schedule API,Centre Bell,4,Flyers,Philadelphia,Philadelphia,de Philadelphie,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,https://assets.nhle.com/logos/nhl/svg/PHI_dark.svg,False,2.0,8,Canadiens,Montréal,Montréal,de Montréal,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,https://assets.nhle.com/logos/nhl/svg/MTL_dark.svg,False,4.0,REG,3,REG,8478039.0,K.,Kahkonen,Philadelphie,Kähkönen,Kähkönen,Kähkönen,Kähkönen,8480018.0,N.,Suzuki,,,,,,,,,,,,,,,,,,,,,
2025010037,20252026,1,2025-09-25,False,2025-09-25T23:00:00Z,-04:00,-04:00,America/Montreal,FINAL,OK,"[{'id': 131, 'market': 'H', 'countryCode': 'CA', 'network': 'TSN2', 'sequenceNumber': 112}, {'id': 33, 'market': 'H', 'countryCode': 'CA', 'network': 'RDS', 'sequenceNumber': 132}, {'id': 293, 'market': 'A', 'countryCode': 'CA', 'network': 'TSN4', 'sequenceNumber': 137}]",,,/video/tor-at-mtl-condensed-game-6380127910112,/fr/video/match-condense-maple-leafs-canadiens-25-09-2025-6380126936112,/gamecenter/tor-vs-mtl/2025/09/25/2025010037,2026-01-02T20:32:02.094225,NHL Schedule API,Centre Bell,10,Maple Leafs,Toronto,Toronto,de Toronto,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,https://assets.nhle.com/logos/nhl/svg/TOR_dark.svg,False,7.0,8,Canadiens,Montréal,Montréal,de Montréal,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,https://assets.nhle.com/logos/nhl/svg/MTL_dark.svg,False,2.0,REG,3,REG,8483710.0,D.,Hildeby,,,,,,8482259.0,B.,McMann,,,,,,,,,,,,,,,,,,,,,
2025010053,20252026,1,2025-09-27,False,2025-09-27T23:00:00Z,-04:00,-04:00,America/Toronto,FINAL,OK,"[{'id': 282, 'market': 'N', 'countryCode': 'CA', 'network': 'SN', 'sequenceNumber': 101}, {'id': 33, 'market': 'A', 'countryCode': 'CA', 'network': 'RDS', 'sequenceNumber': 132}]",,/fr/video/mtl-vs-tor-27-09-2025-resume-6380204597112,/video/mtl-at-tor-condensed-game-6380205970112,/fr/video/match-condense-canadiens-maple-leafs-27-09-2025-6380204418112,/gamecenter/mtl-vs-tor/2025/09/27/2025010053,2026-01-02T20:32:02.094225,NHL Schedule API,Scotiabank Arena,8,Canadiens,Montréal,Montréal,de Montréal,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,https://assets.nhle.com/logos/nhl/svg/MTL_dark.svg,False,4.0,10,Maple Leafs,Toronto,Toronto,de Toronto,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,https://assets.nhle.com/logos/nhl/svg/TOR_dark.svg,False,2.0,REG,3,REG,8478039.0,K.,Kahkonen,,Kähkönen,Kähkönen,Kähkönen,Kähkönen,8483457.0,L.,Hutson,,,,,,,,,,,,,,,,,,,,,
2025010069,20252026,1,2025-09-30,True,2025-09-30T23:00:00Z,-04:00,-04:00,America/Toronto,FINAL,OK,"[{'id': 131, 'market': 'A', 'countryCode': 'CA', 'network': 'TSN2', 'sequenceNumber': 112}, {'id': 33, 'market': 'A', 'countryCode': 'CA', 'network': 'RDS', 'sequenceNumber': 132}, {'id': 294, 'market': 'H', 'countryCode': 'CA', 'network': 'TSN5', 'sequenceNumber': 135}]",,/fr/video/mtl-vs-ott-30-09-2025-resume-6380469457112,,,,2026-01-02T20:32:02.094225,NHL Schedule API,Centre Videotron,8,Canadiens,Montréal,Montréal,de Montréal,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,https://assets.nhle.com/logos/nhl/svg/MTL_dark.svg,False,5.0,9,Senators,Ottawa,Ottawa,d'Ottawa,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,https://assets.nhle.com/logos/nhl/svg/OTT_dark.svg,False,0.0,REG,3,REG,8482487.0,J.,Dobes,,,,,,8482775.0,O.,Kapanen,Centre Vidéotron,Sénateurs,,,,,,,,,,,,,,,,,,,
2025010096,20252026,1,2025-10-04,False,2025-10-04T23:00:00Z,-04:00,-04:00,America/Montreal,FINAL,OK,"[{'id': 131, 'market': 'H', 'countryCode': 'CA', 'network': 'TSN2', 'sequenceNumber': 112}, {'id': 33, 'market': 'H', 'countryCode': 'CA', 'network': 'RDS', 'sequenceNumber': 132}, {'id': 294, 'market': 'A', 'countryCode': 'CA', 'network': 'TSN5', 'sequenceNumber': 135}]",/video/ott-at-mtl-recap-6382054070112,/fr/video/ott-vs-mtl-04-10-2025-resume-6382053112112,/video/ott-at-mtl-condensed-game-6382054669112,/fr/video/match-condense-senators-canadiens-04-10-2025-6382053028112,/gamecenter/ott-vs-mtl/2025/10/04/2025010096,2026-01-02T20:32:02.094225,NHL Schedule API,Centre Bell,9,Senators,Ottawa,Ottawa,d'Ottawa,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,https://assets.nhle.com/logos/nhl/svg/OTT_dark.svg,False,3.0,8,Canadiens,Montréal,Montréal,de Montréal,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,https://assets.nhle.com/logos/nhl/svg/MTL_dark.svg,False,1.0,REG,3,REG,8476999.0,L.,Ullmark,,,,,,8474102.0,D.,Perron,,,Sénateurs,,,,,,,,,,,,,,,,,,
2025020004,20252026,2,2025-10-08,False,2025-10-08T23:00:00Z,-04:00,-04:00,America/Toronto,OFF,OK,"[{'id': 284, 'market': 'N', 'countryCode': 'CA', 'network': 'SN1', 'sequenceNumber': 102}, {'id': 281, 'market': 'N', 'countryCode': 'CA', 'network': 'TVAS', 'sequenceNumber': 109}]",/video/mtl-at-tor-recap-6382420464112,/fr/video/mtl-vs-tor-08-10-2025-resume-6382421106112,,/fr/video/match-condense-canadiens-maple-leafs-08-10-2025-6382421350112,/gamecenter/mtl-vs-tor/2025/10/08/2025020004,2026-01-02T20:32:02.094225,NHL Schedule API,Scotiabank Arena,8,Canadiens,Montréal,Montréal,de Montréal,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,https://assets.nhle.com/logos/nhl/svg/MTL_dark.svg,False,2.0,10,Maple Leafs,Toronto,Toronto,de Toronto,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,https://assets.nhle.com/logos/nhl/svg/TOR_dark.svg,False,5.0,REG,3,REG,8476932.0,A.,Stolarz,,,,,,8476853.0,M.,Rielly,,,,"https://www.marriott.com/search/findHotels.mi?destinationAddress.destination=SCOTIABANK+ARENA,+TORONTO,+CANADA&cid=DIS_GLB0006YJ8_GLE000GVLH_GLF00156FN",Stay at Marriott,,,,,,,,,,,,,,,,
2025020010,20252026,2,2025-10-09,False,2025-10-09T23:00:00Z,-04:00,-04:00,America/Detroit,OFF,OK,"[{'id': 131, 'market': 'A', 'countryCode': 'CA', 'network': 'TSN2', 'sequenceNumber': 112}, {'id': 33, 'market': 'A', 'countryCode': 'CA', 'network': 'RDS', 'sequenceNumber': 132}, {'id': 562, 'market': 'H', 'countryCode': 'US', 'network': 'FDSNDET', 'sequenceNumber': 282}]",/video/mtl-at-det-recap-6382531654112,/fr/video/mtl-vs-det-09-10-2025-resume-6382533913112,/video/mtl-at-det-condensed-game-6382534209112,/fr/video/match-condense-canadiens-red-wings-09-10-2025-6382531173112,/gamecenter/mtl-vs-det/2025/10/09/2025020010,2026-01-02T20:32:02.094225,NHL Schedule API,Little Caesars Arena,8,Canadiens,Montréal,Montréal,de Montréal,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,https://assets.nhle.com/logos/nhl/svg/MTL_dark.svg,False,5.0,17,Red Wings,Detroit,Detroit,de Detroit,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg?season=20252026,https://assets.nhle.com/logos/nhl/svg/DET_dark.svg?season=20252026,False,1.0,REG,3,REG,8482487.0,J.,Dobes,,,,,,8482775.0,O.,Kapanen,,,,,,,,,,,,,,,,,,,,,
2025020031,20252026,2,2025-10-11,False,2025-10-11T23:00:00Z,-04:00,-05:00,America/Chicago,OFF,OK,"[{'id': 286, 'market': 'N', 'countryCode': 'CA', 'network': 'CITY', 'sequenceNumber': 26}, {'id': 287, 'market': 'N', 'countryCode': 'CA', 'network': 'SNE', 'sequenceNumber': 30}, {'id': 324, 'market': 'N', 'countryCode': 'US', 'network': 'NHLN', 'sequenceNumber': 35}, {'id': 281, 'market': 'N', 'countryCode': 'CA', 'network': 'TVAS', 'sequenceNumber': 109}, {'id': 551, 'market': 'H', 'countryCode': 'US', 'network': 'CHSN', 'sequenceNumber': 254}]",/video/mtl-at-chi-recap-6382639148112,/fr/video/mtl-vs-chi-11-10-2025-resume-6382638476112,,/fr/video/match-condense-canadiens-blackhawks-11-10-2025-6382638471112,/gamecenter/mtl-vs-chi/2025/10/11/2025020031,2026-01-02T20:32:02.094225,NHL Schedule API,United Center,8,Canadiens,Montréal,Montréal,de Montréal,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,https://assets.nhle.com/logos/nhl/svg/MTL_dark.svg,False,3.0,16,Blackhawks,Chicago,Chicago,de Chicago,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg?season=20252026,https://assets.nhle.com/logos/nhl/svg/CHI_dark.svg?season=20252026,False,2.0,REG,3,REG,8478470.0,S.,Montembeault,,,,,,8482087.0,K.,Guhle,,,,,,,,,,,,,,,,,,,,,
2025020050,20252026,2,2025-10-14,False,2025-10-14T23:00:00Z,-04:00,-04:00,America/Montreal,OFF,OK,"[{'id': 131, 'market': 'H', 'countryCode': 'CA', 'network': 'TSN2', 'sequenceNumber': 112}, {'id': 33, 'market': 'H', 'countryCode': 'CA', 'network': 'RDS', 'sequenceNumber': 132}, {'id': 554, 'market': 'A', 'countryCode': 'US', 'network': 'KHN/Prime', 'sequenceNumber': 348}, {'id': 388, 'market': 'A', 'countryCode': 'US', 'network': 'KONG', 'sequenceNumber': 654}]",/video/sea-at-mtl-recap-6382771792112,/fr/video/sea-vs-mtl-14-10-2025-resume-6382772785112,/video/sea-at-mtl-condensed-game-6382771610112,/fr/video/match-condense-kraken-canadiens-14-10-2025-6382772092112,/gamecenter/sea-vs-mtl/2025/10/14/2025020050,2026-01-02T20:32:02.094225,NHL Schedule API,Centre Bell,55,Kraken,Seattle,Seattle,de Seattle,SEA,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,https://assets.nhle.com/logos/nhl/svg/SEA_dark.svg,False,4.0,8,Canadiens,Montréal,Montréal,de Montréal,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,https://assets.nhle.com/logos/nhl/svg/MTL_dark.svg,False,5.0,OT,3,OT,8478470.0,S.,Montembeault,,,,,,8481540.0,C.,Caufield,,,,,,,,,,,,,,,,,,,,,
