conferenceAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceName,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionName,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamLogo,ties,waiversSequence,wildcardSequence,winPctg,wins,scrapedOn,source,placeName.default,teamName.default,teamName.fr,teamCommonName.default,teamAbbrev.default,placeName.fr,teamCommonName.fr
W,1,1,Western,1,1,2026-01-01,C,1,1,Central,1,1,2,39,71,1.820513,88,159,4.076923,19,48,38,86,0,2,36,17,17,0,17,10,22,22,44,0,1,19,8,8,0,9,1,2,1,1,2,7,0.858974,67,0.74359,29,0.692308,27,20,23,50,73,2,5,31,12,10,0,13,20252026,4,1,W,9,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,0,32,0,0.769231,30,2026-01-02T20:32:02.675276,NHL Standings API,Colorado,Colorado Avalanche,Avalanche du Colorado,Avalanche,COL,,
W,4,8,Western,2,2,2026-01-01,C,3,4,Central,2,2,2,41,30,0.731707,113,143,3.487805,20,10,53,63,6,2,26,10,10,0,12,10,1,33,34,4,2,10,4,4,0,4,9,18,2,2,9,7,0.695122,57,0.536585,22,0.512195,21,21,20,60,80,3,5,31,12,11,0,13,20252026,3,3,L,2,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,0,31,0,0.609756,25,2026-01-02T20:32:02.675276,NHL Standings API,Dallas,Dallas Stars,Stars de Dallas,Stars,DAL,,
W,2,2,Western,5,3,2026-01-01,C,2,2,Central,3,3,2,41,21,0.512195,108,129,3.146341,22,9,62,71,4,5,31,10,8,0,13,10,14,25,39,1,2,16,7,6,0,7,3,3,8,3,10,7,0.670732,55,0.512195,21,0.414634,17,19,12,46,58,6,2,24,11,9,0,11,20252026,2,3,OT,1,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,0,30,0,0.585366,24,2026-01-02T20:32:02.675276,NHL Standings API,Minnesota,Minnesota Wild,Wild du Minnesota,Wild,MIN,,
E,2,4,Eastern,5,1,2026-01-01,A,2,4,Atlantic,3,1,2,42,-4,-0.095238,134,130,3.095238,22,-3,73,70,7,1,29,14,9,0,14,10,5,25,30,2,1,15,7,4,0,7,4,6,11,4,14,4,0.619048,52,0.52381,22,0.404762,17,20,-1,61,60,7,3,23,8,8,0,10,20252026,2,2,OT,1,https://assets.nhle.com/logos/nhl/svg/DET_light.svg?season=20252026,0,26,0,0.571429,24,2026-01-02T20:32:02.675276,NHL Standings API,Detroit,Detroit Red Wings,Red Wings de Detroit,Red Wings,DET,,
E,12,2,Eastern,2,2,2026-01-01,A,6,2,Atlantic,1,2,2,40,28,0.7,107,135,3.375,20,3,58,61,9,0,22,10,7,0,11,10,10,31,41,2,1,15,6,5,0,7,19,4,4,5,13,3,0.6375,51,0.575,23,0.475,19,20,25,49,74,4,3,29,13,12,0,13,20252026,1,1,W,6,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,0,29,0,0.6,24,2026-01-02T20:32:02.675276,NHL Standings API,Tampa Bay,Tampa Bay Lightning,Lightning de Tampa Bay,Lightning,TBL,,
E,4,10,Eastern,4,3,2026-01-01,M,1,3,Metropolitan,2,1,2,40,13,0.325,122,135,3.375,21,8,67,75,7,1,27,12,8,0,13,10,-3,37,34,4,1,11,3,2,0,5,6,17,9,6,13,3,0.6375,51,0.5,20,0.375,15,19,5,55,60,6,2,24,8,7,0,11,20252026,2,4,L,2,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,0,28,0,0.6,24,2026-01-02T20:32:02.675276,NHL Standings API,Carolina,Carolina Hurricanes,Hurricanes de la Caroline,Hurricanes,CAR,Caroline,
E,14,3,Eastern,3,4,2026-01-01,A,8,3,Atlantic,2,3,2,40,1,0.025,136,137,3.425,20,-7,70,63,9,1,21,9,6,0,10,10,11,29,40,1,3,15,6,5,0,6,24,5,5,7,12,6,0.625,50,0.5,20,0.35,14,20,8,66,74,3,5,29,11,8,0,12,20252026,4,2,W,2,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,0,27,0,0.55,22,2026-01-02T20:32:02.675276,NHL Standings API,Montréal,Montréal Canadiens,Canadiens de Montréal,Canadiens,MTL,,
E,8,9,Eastern,7,5,2026-01-01,M,4,2,Metropolitan,4,2,2,41,-1,-0.02439,117,116,2.829268,22,-2,64,62,8,2,26,9,9,0,12,10,-4,28,24,4,1,11,3,3,0,5,12,16,14,8,15,4,0.585366,48,0.439024,18,0.365854,15,19,1,53,54,7,2,22,9,6,0,10,20252026,4,4,L,1,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,0,22,0,0.536585,22,2026-01-02T20:32:02.675276,NHL Standings API,NY Islanders,New York Islanders,Islanders de New York,Islanders,NYI,,
E,6,8,Eastern,10,6,2026-01-01,M,2,1,Metropolitan,6,3,2,39,5,0.128205,114,119,3.051282,20,9,53,62,5,4,26,9,7,0,11,10,-1,33,32,3,3,11,4,4,0,4,10,15,18,9,12,7,0.602564,47,0.384615,15,0.333333,13,19,-4,61,57,7,3,21,6,6,0,9,20252026,3,5,L,1,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,0,25,0,0.512821,20,2026-01-02T20:32:02.675276,NHL Standings API,Philadelphia,Philadelphia Flyers,Flyers de Philadelphie,Flyers,PHI,Philadelphie,
E,7,16,Eastern,11,7,2026-01-01,M,3,8,Metropolitan,7,4,2,41,15,0.365854,118,133,3.243902,21,11,59,70,7,2,26,12,11,0,12,10,-12,40,28,6,1,7,3,2,0,3,11,28,19,10,15,5,0.573171,47,0.512195,21,0.463415,19,20,4,59,63,8,3,21,9,8,0,9,20252026,4,0,L,1,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,0,19,1,0.512195,21,2026-01-02T20:32:02.675276,NHL Standings API,Washington,Washington Capitals,Capitals de Washington,Capitals,WSH,,
